Crime_ID,Crime_Date,Month,District,Crime_Type,Response_Time_Hours,Action_Taken,Severity_Level,Days,Year,
252,28-Nov-22,November,West Delhi,Assault,96,FIR Registered,Medium,4days 0Hours,2022,
253,3-Aug-21,August,North Delhi,Assault,88,FIR Registered,Medium,3days 16Hours,2021,
254,24-Oct-21,October,South Delhi,Cyber Crime,105,Accused Arrested,Medium,4days 9Hours,2021,
255,30-Aug-21,August,East Delhi,Theft,52,No Action,Low,2days 4Hours,2021,
256,23-Mar-19,March,East Delhi,Murder,113,FIR Registered,High,4days 17Hours,2019,
257,10-Apr-22,April,South East Delhi,Domestic Violence,62,Accused Arrested,Hight,2days 14Hours,2022,
258,21-Jan-21,January,East Delhi,Kidnapping,113,Accused Arrested,High,4days 17Hours,2021,
259,21-Dec-19,December,East Delhi,Cyber Crime,58,No Action,Medium,2days 10Hours,2019,
260,18-Jan-21,January,North East Delhi,Assault,52,Case Closed,Medium,2days 4Hours,2021,
261,8-May-23,May,West Delhi,Cyber Crime,12,Under Investigation,Medium,0days 12Hours,2023,
262,31-Mar-22,March,North East Delhi,Murder,39,No Action,High,1days 15Hours,2022,
263,28-Aug-23,August,East Delhi,Murder,2,No Action,High,0days 2Hours,2023,
264,22-Aug-22,August,West Delhi,Assault,3,Case Closed,Medium,0days 3Hours,2022,
265,22-Sep-22,September,South Delhi,Kidnapping,113,FIR Registered,High,4days 17Hours,2022,
266,9-Jul-20,July,North East Delhi,Cyber Crime,101,No Action,Medium,4days 5Hours,2020,
267,23-May-20,May,South Delhi,Cyber Crime,113,FIR Registered,Medium,4days 17Hours,2020,
268,28-Feb-20,February,South Delhi,Cyber Crime,56,Accused Arrested,Medium,2days 8Hours,2020,
269,25-Nov-21,November,North West Delhi,Robbery,81,FIR Registered,Medium,3days 9Hours,2021,
270,21-Apr-23,April,South East Delhi,Kidnapping,59,Under Investigation,High,2days 11Hours,2023,
271,1-Aug-22,August,East Delhi,Cyber Crime,113,Under Investigation,Medium,4days 17Hours,2022,
272,19-Dec-19,December,South East Delhi,Robbery,2,Under Investigation,Medium,0days 2Hours,2019,
273,26-Feb-20,February,North West Delhi,Kidnapping,2,FIR Registered,High,0days 2Hours,2020,
274,5-Feb-21,February,North East Delhi,Murder,92,FIR Registered,High,3days 20Hours,2021,
275,19-Oct-20,October,North Delhi,Fraud,54,Accused Arrested,Medium,2days 6Hours,2020,
276,8-Jul-21,July,North East Delhi,Domestic Violence,87,Accused Arrested,Hight,3days 15Hours,2021,
277,11-Jul-22,July,West Delhi,Cyber Crime,101,Under Investigation,Medium,4days 5Hours,2022,
278,26-Jan-20,January,West Delhi,Assault,96,FIR Registered,Medium,4days 0Hours,2020,
279,26-May-21,May,West Delhi,Theft,97,Accused Arrested,Low,4days 1Hours,2021,
280,21-Jun-22,June,Central Delhi,Murder,1,FIR Registered,High,0days 1Hours,2022,
281,19-Sep-22,September,North West Delhi,Assault,19,Case Closed,Medium,0days 19Hours,2022,
282,1-Aug-23,August,West Delhi,Domestic Violence,2,Case Closed,Hight,0days 2Hours,2023,
283,16-Nov-19,November,Central Delhi,Murder,53,FIR Registered,High,2days 5Hours,2019,
284,11-May-22,May,West Delhi,Theft,44,Under Investigation,Low,1days 20Hours,2022,
285,19-Feb-21,February,North West Delhi,Theft,90,FIR Registered,Low,3days 18Hours,2021,
286,4-Feb-20,February,North West Delhi,Kidnapping,32,Accused Arrested,High,1days 8Hours,2020,
287,23-Oct-23,October,North West Delhi,Assault,70,FIR Registered,Medium,2days 22Hours,2023,
288,6-Apr-20,April,Central Delhi,Assault,32,FIR Registered,Medium,1days 8Hours,2020,
289,14-Aug-19,August,North Delhi,Fraud,119,Case Closed,Medium,4days 23Hours,2019,
290,8-Sep-22,September,Central Delhi,Cyber Crime,68,Under Investigation,Medium,2days 20Hours,2022,
291,23-Feb-23,February,South East Delhi,Murder,55,Accused Arrested,High,2days 7Hours,2023,
292,15-Feb-22,February,North West Delhi,Domestic Violence,75,No Action,Hight,3days 3Hours,2022,
293,16-Oct-19,October,Central Delhi,Cyber Crime,56,Case Closed,Medium,2days 8Hours,2019,
294,6-Oct-19,October,South Delhi,Murder,17,No Action,High,0days 17Hours,2019,
295,11-Apr-21,April,South Delhi,Cyber Crime,38,Under Investigation,Medium,1days 14Hours,2021,
296,21-Jul-20,July,West Delhi,Cyber Crime,24,Under Investigation,Medium,1days 0Hours,2020,
297,14-Jun-19,June,Central Delhi,Murder,69,Under Investigation,High,2days 21Hours,2019,
298,26-May-23,May,North West Delhi,Robbery,116,FIR Registered,Medium,4days 20Hours,2023,
299,11-May-23,May,North East Delhi,Domestic Violence,98,No Action,Hight,4days 2Hours,2023,
300,21-Jun-23,June,North Delhi,Murder,70,No Action,High,2days 22Hours,2023,
301,8-Dec-23,December,South Delhi,Cyber Crime,86,FIR Registered,Medium,3days 14Hours,2023,
302,26-Oct-23,October,South East Delhi,Kidnapping,11,Under Investigation,High,0days 11Hours,2023,
303,27-Sep-19,September,East Delhi,Assault,112,Case Closed,Medium,4days 16Hours,2019,
304,15-Mar-21,March,North West Delhi,Cyber Crime,16,Accused Arrested,Medium,0days 16Hours,2021,
305,24-Jul-21,July,North Delhi,Murder,97,Under Investigation,High,4days 1Hours,2021,
306,24-Mar-21,March,South Delhi,Cyber Crime,73,Accused Arrested,Medium,3days 1Hours,2021,
307,7-Jan-23,January,North Delhi,Murder,59,Accused Arrested,High,2days 11Hours,2023,
308,3-Aug-22,August,East Delhi,Murder,70,Accused Arrested,High,2days 22Hours,2022,
309,28-Oct-21,October,North East Delhi,Domestic Violence,80,Under Investigation,Hight,3days 8Hours,2021,
310,4-Aug-22,August,South Delhi,Domestic Violence,93,FIR Registered,Hight,3days 21Hours,2022,
311,1-Mar-20,March,North Delhi,Kidnapping,3,FIR Registered,High,0days 3Hours,2020,
312,27-Apr-23,April,South East Delhi,Domestic Violence,20,Accused Arrested,Hight,0days 20Hours,2023,
313,14-Aug-23,August,North West Delhi,Theft,59,FIR Registered,Low,2days 11Hours,2023,
314,2-Nov-19,November,North Delhi,Theft,36,FIR Registered,Low,1days 12Hours,2019,
315,10-Jun-20,June,North East Delhi,Assault,19,FIR Registered,Medium,0days 19Hours,2020,
316,11-Oct-22,October,North West Delhi,Robbery,90,Under Investigation,Medium,3days 18Hours,2022,
317,6-Apr-23,April,Central Delhi,Fraud,67,Accused Arrested,Medium,2days 19Hours,2023,
318,28-May-21,May,South East Delhi,Theft,19,Under Investigation,Low,0days 19Hours,2021,
319,30-Aug-23,August,East Delhi,Robbery,20,Under Investigation,Medium,0days 20Hours,2023,
320,13-Oct-22,October,South Delhi,Fraud,96,FIR Registered,Medium,4days 0Hours,2022,
321,14-Sep-19,September,West Delhi,Cyber Crime,71,Accused Arrested,Medium,2days 23Hours,2019,
322,2-Sep-20,September,Central Delhi,Cyber Crime,52,FIR Registered,Medium,2days 4Hours,2020,
323,30-Apr-22,April,East Delhi,Fraud,105,FIR Registered,Medium,4days 9Hours,2022,
324,21-Jul-22,July,South Delhi,Assault,33,Accused Arrested,Medium,1days 9Hours,2022,
325,28-Aug-19,August,North West Delhi,Assault,40,FIR Registered,Medium,1days 16Hours,2019,
326,27-Sep-19,September,East Delhi,Theft,39,Accused Arrested,Low,1days 15Hours,2019,
327,17-Nov-23,November,North West Delhi,Kidnapping,82,Accused Arrested,High,3days 10Hours,2023,
328,9-Dec-20,December,North East Delhi,Murder,104,Accused Arrested,High,4days 8Hours,2020,
329,4-Oct-19,October,North Delhi,Assault,1,Case Closed,Medium,0days 1Hours,2019,
330,5-Jul-19,July,South Delhi,Fraud,11,Case Closed,Medium,0days 11Hours,2019,
331,7-Dec-19,December,North West Delhi,Robbery,92,FIR Registered,Medium,3days 20Hours,2019,
332,23-Apr-23,April,North West Delhi,Fraud,57,Under Investigation,Medium,2days 9Hours,2023,
333,25-Dec-22,December,East Delhi,Murder,89,Accused Arrested,High,3days 17Hours,2022,
334,1-Dec-23,December,North West Delhi,Fraud,50,FIR Registered,Medium,2days 2Hours,2023,
335,31-Dec-19,December,West Delhi,Cyber Crime,23,Case Closed,Medium,0days 23Hours,2019,
336,21-Feb-20,February,South East Delhi,Fraud,31,Under Investigation,Medium,1days 7Hours,2020,
337,14-Jul-20,July,North East Delhi,Cyber Crime,94,Under Investigation,Medium,3days 22Hours,2020,
338,8-Oct-20,October,South Delhi,Robbery,42,FIR Registered,Medium,1days 18Hours,2020,
339,16-Nov-21,November,South East Delhi,Theft,99,Under Investigation,Low,4days 3Hours,2021,
340,26-Jul-21,July,North West Delhi,Assault,7,Under Investigation,Medium,0days 7Hours,2021,
341,10-Jul-22,July,North East Delhi,Murder,16,Under Investigation,High,0days 16Hours,2022,
342,10-Jan-22,January,West Delhi,Robbery,90,FIR Registered,Medium,3days 18Hours,2022,
343,7-Apr-19,April,North West Delhi,Robbery,112,Accused Arrested,Medium,4days 16Hours,2019,
344,15-Apr-19,April,North East Delhi,Assault,116,FIR Registered,Medium,4days 20Hours,2019,
345,20-Aug-23,August,Central Delhi,Theft,60,Under Investigation,Low,2days 12Hours,2023,
346,6-Feb-19,February,Central Delhi,Robbery,113,Accused Arrested,Medium,4days 17Hours,2019,
347,2-Oct-21,October,South Delhi,Robbery,2,Case Closed,Medium,0days 2Hours,2021,
348,29-Aug-22,August,West Delhi,Domestic Violence,1,Accused Arrested,Hight,0days 1Hours,2022,
349,12-Sep-23,September,South Delhi,Cyber Crime,48,FIR Registered,Medium,2days 0Hours,2023,
350,2-Feb-21,February,West Delhi,Theft,12,FIR Registered,Low,0days 12Hours,2021,
351,2-Aug-20,August,South East Delhi,Domestic Violence,69,FIR Registered,Hight,2days 21Hours,2020,
352,1-Oct-21,October,South Delhi,Assault,37,Case Closed,Medium,1days 13Hours,2021,
353,2-Jul-20,July,West Delhi,Cyber Crime,32,FIR Registered,Medium,1days 8Hours,2020,
354,9-Jan-19,January,South Delhi,Theft,119,FIR Registered,Low,4days 23Hours,2019,
355,4-Nov-20,November,North Delhi,Murder,9,Under Investigation,High,0days 9Hours,2020,
356,1-Jul-23,July,North Delhi,Robbery,105,Accused Arrested,Medium,4days 9Hours,2023,
357,23-Jun-21,June,West Delhi,Assault,99,Accused Arrested,Medium,4days 3Hours,2021,
358,24-Nov-19,November,North West Delhi,Assault,19,Accused Arrested,Medium,0days 19Hours,2019,
359,5-Feb-20,February,East Delhi,Assault,48,No Action,Medium,2days 0Hours,2020,
360,27-Feb-20,February,Central Delhi,Assault,80,No Action,Medium,3days 8Hours,2020,
361,5-May-20,May,North Delhi,Kidnapping,3,Under Investigation,High,0days 3Hours,2020,
362,13-Dec-20,December,South Delhi,Fraud,20,Case Closed,Medium,0days 20Hours,2020,
363,4-Feb-21,February,South Delhi,Fraud,24,Under Investigation,Medium,1days 0Hours,2021,
364,21-Mar-23,March,Central Delhi,Domestic Violence,54,FIR Registered,Hight,2days 6Hours,2023,
365,6-Nov-20,November,South Delhi,Fraud,33,Under Investigation,Medium,1days 9Hours,2020,
366,7-Feb-20,February,South East Delhi,Assault,24,FIR Registered,Medium,1days 0Hours,2020,
367,9-Feb-21,February,North Delhi,Cyber Crime,116,FIR Registered,Medium,4days 20Hours,2021,
368,23-Jan-22,January,Central Delhi,Murder,75,FIR Registered,High,3days 3Hours,2022,
369,6-Jun-20,June,North Delhi,Assault,113,Case Closed,Medium,4days 17Hours,2020,
370,20-Jan-19,January,West Delhi,Kidnapping,72,FIR Registered,High,3days 0Hours,2019,
371,4-Apr-20,April,South East Delhi,Murder,36,Accused Arrested,High,1days 12Hours,2020,
372,17-Feb-20,February,North East Delhi,Murder,38,Accused Arrested,High,1days 14Hours,2020,
373,24-Feb-20,February,North West Delhi,Murder,104,Case Closed,High,4days 8Hours,2020,
374,6-Oct-20,October,South East Delhi,Cyber Crime,84,Accused Arrested,Medium,3days 12Hours,2020,
375,21-Feb-21,February,North Delhi,Murder,99,Accused Arrested,High,4days 3Hours,2021,
376,1-May-21,May,South Delhi,Cyber Crime,112,Accused Arrested,Medium,4days 16Hours,2021,
377,23-May-20,May,South Delhi,Theft,89,Accused Arrested,Low,3days 17Hours,2020,
378,14-Sep-20,September,North East Delhi,Kidnapping,99,Case Closed,High,4days 3Hours,2020,
379,19-Jan-22,January,North West Delhi,Robbery,25,FIR Registered,Medium,1days 1Hours,2022,
380,9-Jul-21,July,South Delhi,Murder,93,FIR Registered,High,3days 21Hours,2021,
381,29-Aug-21,August,South Delhi,Theft,18,No Action,Low,0days 18Hours,2021,
382,15-Jun-21,June,West Delhi,Domestic Violence,110,Case Closed,Hight,4days 14Hours,2021,
383,11-May-22,May,North West Delhi,Kidnapping,82,Accused Arrested,High,3days 10Hours,2022,
384,11-Sep-22,September,North East Delhi,Assault,66,Case Closed,Medium,2days 18Hours,2022,
385,30-Mar-20,March,North West Delhi,Theft,54,Accused Arrested,Low,2days 6Hours,2020,
386,10-Jan-21,January,North West Delhi,Murder,35,Under Investigation,High,1days 11Hours,2021,
387,4-Feb-21,February,Central Delhi,Robbery,80,Under Investigation,Medium,3days 8Hours,2021,
388,21-Feb-22,February,East Delhi,Assault,61,Under Investigation,Medium,2days 13Hours,2022,
389,31-May-23,May,West Delhi,Fraud,41,Case Closed,Medium,1days 17Hours,2023,
390,28-Jun-19,June,North Delhi,Domestic Violence,100,No Action,Hight,4days 4Hours,2019,
391,25-Mar-21,March,North Delhi,Theft,33,FIR Registered,Low,1days 9Hours,2021,
392,27-Oct-20,October,North West Delhi,Robbery,68,Under Investigation,Medium,2days 20Hours,2020,
393,18-Nov-19,November,East Delhi,Fraud,33,FIR Registered,Medium,1days 9Hours,2019,
394,7-Mar-21,March,West Delhi,Cyber Crime,14,FIR Registered,Medium,0days 14Hours,2021,
395,2-Jan-20,January,North Delhi,Kidnapping,21,Under Investigation,High,0days 21Hours,2020,
396,22-Jan-21,January,North Delhi,Kidnapping,48,Case Closed,High,2days 0Hours,2021,
397,1-Jul-21,July,West Delhi,Fraud,20,No Action,Medium,0days 20Hours,2021,
398,25-Mar-23,March,West Delhi,Robbery,8,Case Closed,Medium,0days 8Hours,2023,
399,21-Jan-19,January,Central Delhi,Theft,7,Under Investigation,Low,0days 7Hours,2019,
400,21-Dec-20,December,South Delhi,Kidnapping,67,Under Investigation,High,2days 19Hours,2020,
401,29-May-19,May,East Delhi,Domestic Violence,17,Case Closed,Hight,0days 17Hours,2019,
402,28-Oct-22,October,South East Delhi,Kidnapping,33,Under Investigation,High,1days 9Hours,2022,
403,9-Nov-23,November,North Delhi,Domestic Violence,48,FIR Registered,Hight,2days 0Hours,2023,
404,27-Jan-21,January,North Delhi,Theft,76,FIR Registered,Low,3days 4Hours,2021,
405,8-Jul-23,July,West Delhi,Fraud,59,Case Closed,Medium,2days 11Hours,2023,
406,7-Jun-21,June,East Delhi,Domestic Violence,115,Accused Arrested,Hight,4days 19Hours,2021,
407,18-Apr-21,April,Central Delhi,Fraud,86,Accused Arrested,Medium,3days 14Hours,2021,
408,20-Dec-21,December,North East Delhi,Fraud,119,Accused Arrested,Medium,4days 23Hours,2021,
409,14-Mar-19,March,South Delhi,Murder,22,Accused Arrested,High,0days 22Hours,2019,
410,28-Aug-21,August,North East Delhi,Domestic Violence,110,Case Closed,Hight,4days 14Hours,2021,
411,16-Aug-21,August,South Delhi,Fraud,30,Accused Arrested,Medium,1days 6Hours,2021,
412,29-May-20,May,North Delhi,Theft,38,FIR Registered,Low,1days 14Hours,2020,
413,14-Aug-20,August,South Delhi,Domestic Violence,102,Accused Arrested,Hight,4days 6Hours,2020,
414,2-Jan-20,January,North East Delhi,Assault,109,FIR Registered,Medium,4days 13Hours,2020,
415,29-Sep-22,September,North East Delhi,Domestic Violence,51,FIR Registered,Hight,2days 3Hours,2022,
416,30-Jan-21,January,Central Delhi,Kidnapping,54,Accused Arrested,High,2days 6Hours,2021,
417,13-Aug-19,August,North West Delhi,Assault,8,Under Investigation,Medium,0days 8Hours,2019,
418,25-Oct-19,October,North Delhi,Robbery,27,Under Investigation,Medium,1days 3Hours,2019,
419,30-Jul-23,July,East Delhi,Theft,27,Under Investigation,Low,1days 3Hours,2023,
420,10-Nov-20,November,Central Delhi,Murder,98,Accused Arrested,High,4days 2Hours,2020,
421,12-Mar-21,March,North Delhi,Theft,21,Accused Arrested,Low,0days 21Hours,2021,
422,10-Aug-19,August,North Delhi,Domestic Violence,30,Accused Arrested,Hight,1days 6Hours,2019,
423,1-Nov-22,November,Central Delhi,Fraud,97,Case Closed,Medium,4days 1Hours,2022,
424,12-Nov-21,November,South East Delhi,Domestic Violence,28,Under Investigation,Hight,1days 4Hours,2021,
425,25-Jan-20,January,Central Delhi,Robbery,111,No Action,Medium,4days 15Hours,2020,
426,23-Aug-19,August,North Delhi,Murder,64,Under Investigation,High,2days 16Hours,2019,
427,9-Aug-21,August,North Delhi,Robbery,97,Accused Arrested,Medium,4days 1Hours,2021,
428,25-Feb-23,February,North East Delhi,Theft,69,FIR Registered,Low,2days 21Hours,2023,
429,23-Sep-23,September,North East Delhi,Kidnapping,61,Accused Arrested,High,2days 13Hours,2023,
430,20-Jul-23,July,North Delhi,Theft,48,FIR Registered,Low,2days 0Hours,2023,
431,22-Sep-21,September,Central Delhi,Robbery,19,No Action,Medium,0days 19Hours,2021,
432,18-Aug-19,August,Central Delhi,Fraud,4,FIR Registered,Medium,0days 4Hours,2019,
433,28-Jun-19,June,South East Delhi,Kidnapping,35,FIR Registered,High,1days 11Hours,2019,
434,16-Sep-21,September,South East Delhi,Kidnapping,64,FIR Registered,High,2days 16Hours,2021,
435,2-Feb-22,February,South Delhi,Theft,49,FIR Registered,Low,2days 1Hours,2022,
436,18-Sep-22,September,North East Delhi,Assault,17,Case Closed,Medium,0days 17Hours,2022,
437,28-Oct-23,October,North Delhi,Fraud,44,Case Closed,Medium,1days 20Hours,2023,
438,18-Jun-22,June,North West Delhi,Cyber Crime,92,Accused Arrested,Medium,3days 20Hours,2022,
439,10-Jan-20,January,Central Delhi,Kidnapping,30,No Action,High,1days 6Hours,2020,
440,1-Dec-20,December,South Delhi,Assault,93,Accused Arrested,Medium,3days 21Hours,2020,
441,30-Nov-19,November,North Delhi,Fraud,46,Under Investigation,Medium,1days 22Hours,2019,
442,11-Mar-23,March,North West Delhi,Theft,117,Case Closed,Low,4days 21Hours,2023,
443,2-Jan-20,January,North West Delhi,Fraud,6,Under Investigation,Medium,0days 6Hours,2020,
444,30-Jan-22,January,North Delhi,Theft,99,No Action,Low,4days 3Hours,2022,
445,4-Mar-23,March,North West Delhi,Kidnapping,105,FIR Registered,High,4days 9Hours,2023,
446,25-Dec-19,December,South Delhi,Kidnapping,37,Case Closed,High,1days 13Hours,2019,
447,13-Apr-19,April,East Delhi,Murder,24,Under Investigation,High,1days 0Hours,2019,
448,5-Jun-21,June,North East Delhi,Theft,93,Case Closed,Low,3days 21Hours,2021,
449,17-Jun-20,June,North East Delhi,Domestic Violence,113,Case Closed,Hight,4days 17Hours,2020,
450,5-Jul-21,July,North West Delhi,Theft,46,No Action,Low,1days 22Hours,2021,
451,28-May-22,May,South Delhi,Fraud,53,FIR Registered,Medium,2days 5Hours,2022,
452,24-Apr-19,April,North West Delhi,Theft,95,No Action,Low,3days 23Hours,2019,
453,5-Jun-19,June,Central Delhi,Robbery,99,FIR Registered,Medium,4days 3Hours,2019,
454,6-Oct-22,October,West Delhi,Theft,60,FIR Registered,Low,2days 12Hours,2022,
455,6-Oct-23,October,Central Delhi,Robbery,97,Accused Arrested,Medium,4days 1Hours,2023,
456,7-Sep-20,September,East Delhi,Kidnapping,116,Case Closed,High,4days 20Hours,2020,
457,25-May-21,May,South East Delhi,Domestic Violence,63,Under Investigation,Hight,2days 15Hours,2021,
458,29-Aug-21,August,West Delhi,Kidnapping,85,Accused Arrested,High,3days 13Hours,2021,
459,15-Jan-19,January,West Delhi,Domestic Violence,32,FIR Registered,Hight,1days 8Hours,2019,
460,4-Mar-20,March,North West Delhi,Murder,87,Case Closed,High,3days 15Hours,2020,
461,30-Jun-22,June,South East Delhi,Assault,33,FIR Registered,Medium,1days 9Hours,2022,
462,16-Feb-21,February,South East Delhi,Murder,67,Under Investigation,High,2days 19Hours,2021,
463,17-May-21,May,North Delhi,Cyber Crime,18,Under Investigation,Medium,0days 18Hours,2021,
464,19-Aug-21,August,North Delhi,Assault,25,Under Investigation,Medium,1days 1Hours,2021,
465,12-Jun-22,June,South Delhi,Domestic Violence,106,Case Closed,Hight,4days 10Hours,2022,
466,15-Aug-23,August,South East Delhi,Cyber Crime,95,Under Investigation,Medium,3days 23Hours,2023,
467,8-Jul-22,July,South Delhi,Murder,54,Accused Arrested,High,2days 6Hours,2022,
468,3-Jan-21,January,East Delhi,Fraud,58,Under Investigation,Medium,2days 10Hours,2021,
469,3-Apr-22,April,North Delhi,Domestic Violence,67,FIR Registered,Hight,2days 19Hours,2022,
470,9-Dec-21,December,North Delhi,Murder,104,Under Investigation,High,4days 8Hours,2021,
471,9-Jan-19,January,North West Delhi,Assault,46,Accused Arrested,Medium,1days 22Hours,2019,
472,26-Nov-19,November,North Delhi,Murder,24,FIR Registered,High,1days 0Hours,2019,
473,15-Nov-23,November,West Delhi,Assault,114,Accused Arrested,Medium,4days 18Hours,2023,
474,27-Feb-19,February,West Delhi,Fraud,32,Under Investigation,Medium,1days 8Hours,2019,
475,7-Nov-23,November,North Delhi,Kidnapping,47,Under Investigation,High,1days 23Hours,2023,
476,10-Sep-19,September,South East Delhi,Fraud,86,Under Investigation,Medium,3days 14Hours,2019,
477,4-Feb-22,February,South East Delhi,Cyber Crime,23,Case Closed,Medium,0days 23Hours,2022,
478,30-Oct-21,October,Central Delhi,Domestic Violence,66,Under Investigation,Hight,2days 18Hours,2021,
479,22-May-22,May,Central Delhi,Assault,27,Accused Arrested,Medium,1days 3Hours,2022,
480,17-Jul-20,July,West Delhi,Assault,106,FIR Registered,Medium,4days 10Hours,2020,
481,11-Jun-21,June,South Delhi,Fraud,2,Under Investigation,Medium,0days 2Hours,2021,
482,1-Sep-20,September,East Delhi,Theft,90,Under Investigation,Low,3days 18Hours,2020,
483,23-Feb-21,February,Central Delhi,Theft,17,Accused Arrested,Low,0days 17Hours,2021,
484,17-Jun-19,June,South Delhi,Theft,104,Accused Arrested,Low,4days 8Hours,2019,
485,4-Feb-22,February,Central Delhi,Fraud,33,Under Investigation,Medium,1days 9Hours,2022,
486,6-May-22,May,South Delhi,Fraud,9,Accused Arrested,Medium,0days 9Hours,2022,
487,2-Sep-21,September,South East Delhi,Assault,43,No Action,Medium,1days 19Hours,2021,
488,21-May-20,May,South Delhi,Theft,118,Accused Arrested,Low,4days 22Hours,2020,
489,13-Mar-19,March,South Delhi,Domestic Violence,48,Under Investigation,Hight,2days 0Hours,2019,
490,22-Dec-23,December,West Delhi,Theft,39,Accused Arrested,Low,1days 15Hours,2023,
491,11-Nov-20,November,West Delhi,Domestic Violence,93,FIR Registered,Hight,3days 21Hours,2020,
492,28-Oct-19,October,East Delhi,Fraud,42,No Action,Medium,1days 18Hours,2019,
493,16-Jul-19,July,Central Delhi,Kidnapping,119,FIR Registered,High,4days 23Hours,2019,
494,9-Feb-19,February,Central Delhi,Theft,26,Case Closed,Low,1days 2Hours,2019,
495,27-Dec-22,December,North East Delhi,Theft,99,FIR Registered,Low,4days 3Hours,2022,
496,11-May-23,May,North West Delhi,Murder,50,Accused Arrested,High,2days 2Hours,2023,
497,10-Feb-21,February,South Delhi,Fraud,25,Under Investigation,Medium,1days 1Hours,2021,
498,19-Oct-22,October,North West Delhi,Murder,24,Accused Arrested,High,1days 0Hours,2022,
499,23-May-23,May,North Delhi,Robbery,13,No Action,Medium,0days 13Hours,2023,
500,20-Jun-20,June,North West Delhi,Cyber Crime,60,Case Closed,Medium,2days 12Hours,2020,
501,6-Jun-21,June,South Delhi,Cyber Crime,7,FIR Registered,Medium,0days 7Hours,2021,
502,24-Apr-23,April,South East Delhi,Theft,57,FIR Registered,Low,2days 9Hours,2023,
503,17-May-19,May,South East Delhi,Cyber Crime,36,FIR Registered,Medium,1days 12Hours,2019,
